	Claylick	Forest	Gap
Chrotopterus_auritus	0	2	0
Glyphonycteris_daviesi	0	1	0
Lophostoma_silvicolum	1	3	3
Micronycteris_brachyotis	1	0	0
Micronycteris_minuta	0	1	0
Mimon_crenulatum	0	0	3
Phyloderma_stenops	0	1	1
Phyllostomus_elongatus	1	15	9
Phyllostomus_hastatus	1	3	11
Tonatia_saurophylla	0	0	1
Tonatia_sp.	1	0	0
Trachops_cirrhosus	0	8	2
Glosophaga_soricina	0	0	1
Lonchophylla_thomasi	1	2	7
Carollia_brevicauda	3	18	29
Carollia_castanea	0	2	7
Carollia_perspicillata	7	40	26
Carollia_spp.	1	1	2
Rhinophylla_pumilio	0	24	10
Artibeus_anderseni	6	2	1
Artibeus_cinereus	1	0	0
Artibeus_concolor	2	0	0
Artibeus_glaucus	9	0	3
Artibeus_hartii	0	1	0
Artibeus_lituratus	208	26	21
Artibeus_obscurus	210	40	18
Artibeus_planirostris	318	36	11
Chiroderma_salvini	54	0	0
Chiroderma_trinitatum	146	2	0
Chiroderma_villosum	64	1	0
Mesophylla_macconnelli	10	9	2
Platyrrhinus_brachycephalus	72	3	0
Platyrrhinus_helleri	238	4	1
Platyrrhinus_infuscus	58	4	3
Platyrrhinus_spp.	8	0	0
Sphaeronycteris_toxophyllum	18	0	0
Sturnira_lilium	29	0	5
Sturnira_tildae	0	1	1
Uroderma_bilobatum	265	2	3
Uroderma_magnirostris	89	8	2
Vampyressa_pusilla	27	0	0
Vampyriscus_bidens	89	0	1
Vampyrodes_caraccioli	21	0	0
Desmodus_rotundus	2	0	1
Diphylla_ecaudata	1	0	0
Thyroptera_tricolor	0	0	1
Myotis_megalotis	0	0	1
